   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2387(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:239(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2628(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:2722(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:2740(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2762(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2853(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:288(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:2956(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2961(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2966(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2993(Scale)
        2    0.000    0.000    0.034    0.017 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3026(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3070(Text)
        1    0.000    0.000    0.005    0.005 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:342(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3427(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3438(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3475(Image)
        1    0.000    0.000    0.000    0.000 __init__.py:3532(PhotoImage)
        1    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
       36    0.001    0.000    0.014    0.000 __init__.py:359(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3596(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3611(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3769(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
